Kinetic,Electron.,Nuclear,Total,CSDA,Projected,Detour
Energy,Stp. Pow.,Stp. Pow.,Stp. Pow.,Range,Range,Factor
MeV,MeV cm2/g,MeV cm2/g,MeV cm2/g,g/cm2,g/cm2,
4.50E+02,1.59E+01,5.64E-03,1.59E+01,1.65E+01,1.64E+01,0.9968
5.00E+02,1.48E+01,5.11E-03,1.48E+01,1.97E+01,1.97E+01,0.9969
5.50E+02,1.39E+01,4.67E-03,1.39E+01,2.32E+01,2.32E+01,0.997
6.00E+02,1.31E+01,4.31E-03,1.31E+01,2.69E+01,2.69E+01,0.997
6.50E+02,1.24E+01,3.99E-03,1.24E+01,3.09E+01,3.08E+01,0.9971
7.00E+02,1.19E+01,3.72E-03,1.19E+01,3.50E+01,3.49E+01,0.9971
7.50E+02,1.14E+01,3.49E-03,1.14E+01,3.93E+01,3.92E+01,0.9972
8.00E+02,1.09E+01,3.28E-03,1.09E+01,4.38E+01,4.37E+01,0.9972
8.50E+02,1.05E+01,3.10E-03,1.05E+01,4.85E+01,4.83E+01,0.9972
9.00E+02,1.02E+01,2.93E-03,1.02E+01,5.33E+01,5.32E+01,0.9973
9.50E+02,9.83E+00,2.79E-03,9.84E+00,5.83E+01,5.81E+01,0.9973
1.00E+03,9.55E+00,2.65E-03,9.55E+00,6.35E+01,6.33E+01,0.9973
